Cell	Target	Treatment	Duration	Replicate	Replicate.2	Run	SRR	ExperimentSRX	ControlName	Raw	SampleName	Library	Concat
A549	GR	dex	0h	rep1	1	R1	SRR7122167	SRX4043716	GSE114063	A549.GR.dex.0h.rep1	A549.GR.dex.0h	Paired	A549.GR.dex.0h.rep1.R1
A549	GR	dex	0h	rep1	1	R2	SRR7122167	SRX4043716	GSE114063	A549.GR.dex.0h.rep1	A549.GR.dex.0h	Paired	A549.GR.dex.0h.rep1.R2
A549	GR	dex	0h	rep2	1	R1	SRR7122168	SRX4043717	GSE114063	A549.GR.dex.0h.rep2	A549.GR.dex.0h	Paired	A549.GR.dex.0h.rep2.R1
A549	GR	dex	0h	rep2	1	R2	SRR7122168	SRX4043717	GSE114063	A549.GR.dex.0h.rep2	A549.GR.dex.0h	Paired	A549.GR.dex.0h.rep2.R2
A549	GR	dex	0h	rep3	1	R1	SRR7122169	SRX4043718	GSE114063	A549.GR.dex.0h.rep3	A549.GR.dex.0h	Paired	A549.GR.dex.0h.rep3.R1
A549	GR	dex	0h	rep3	1	R2	SRR7122169	SRX4043718	GSE114063	A549.GR.dex.0h.rep3	A549.GR.dex.0h	Paired	A549.GR.dex.0h.rep3.R2
A549	GR	dex	0h	rep4	1	R1	SRR7122170	SRX4043719	GSE114063	A549.GR.dex.0h.rep4	A549.GR.dex.0h	Paired	A549.GR.dex.0h.rep4.R1
A549	GR	dex	0h	rep4	1	R2	SRR7122170	SRX4043719	GSE114063	A549.GR.dex.0h.rep4	A549.GR.dex.0h	Paired	A549.GR.dex.0h.rep4.R2
A549	GR	dex	0h	rep5	1	R1	SRR7122171	SRX4043720	GSE114063	A549.GR.dex.0h.rep5	A549.GR.dex.0h	Paired	A549.GR.dex.0h.rep5.R1
A549	GR	dex	0h	rep5	1	R2	SRR7122171	SRX4043720	GSE114063	A549.GR.dex.0h.rep5	A549.GR.dex.0h	Paired	A549.GR.dex.0h.rep5.R2
A549	GR	dex	1h	rep1	1	R1	SRR7122172	SRX4043721	GSE114063	A549.GR.dex.1h.rep1	A549.GR.dex.1h	Paired	A549.GR.dex.1h.rep1.R1
A549	GR	dex	1h	rep1	1	R2	SRR7122172	SRX4043721	GSE114063	A549.GR.dex.1h.rep1	A549.GR.dex.1h	Paired	A549.GR.dex.1h.rep1.R2
A549	GR	dex	1h	rep2	1	R1	SRR7122173	SRX4043722	GSE114063	A549.GR.dex.1h.rep2	A549.GR.dex.1h	Paired	A549.GR.dex.1h.rep2.R1
A549	GR	dex	1h	rep2	1	R2	SRR7122173	SRX4043722	GSE114063	A549.GR.dex.1h.rep2	A549.GR.dex.1h	Paired	A549.GR.dex.1h.rep2.R2
A549	GR	dex	1h	rep3	1	R1	SRR7122174	SRX4043723	GSE114063	A549.GR.dex.1h.rep3	A549.GR.dex.1h	Paired	A549.GR.dex.1h.rep3.R1
A549	GR	dex	1h	rep3	1	R2	SRR7122174	SRX4043723	GSE114063	A549.GR.dex.1h.rep3	A549.GR.dex.1h	Paired	A549.GR.dex.1h.rep3.R2
A549	GR	dex	1h	rep4	1	R1	SRR7122175	SRX4043724	GSE114063	A549.GR.dex.1h.rep4	A549.GR.dex.1h	Paired	A549.GR.dex.1h.rep4.R1
A549	GR	dex	1h	rep4	1	R2	SRR7122175	SRX4043724	GSE114063	A549.GR.dex.1h.rep4	A549.GR.dex.1h	Paired	A549.GR.dex.1h.rep4.R2
