groseq_dht.plus	groseq_dht.plus	groseq_dht.minus	groseq_dht.minus	groseq_dmso.plus	groseq_dmso.plus	groseq_dmso.minus	groseq_dmso.minus
0	0.667	64.15	72.96	0	1.246	40.98	67.94
62.8	54.59	4.707	0.9713	58.22	48.97	0.944	1.201
32.97	31.08	32.97	8.891	34.92	25	25.32	10.21
6.746	8.09	47.72	9.222	13.4	11.15	55.67	17.92
11.12	12.85	25.43	32.85	7.363	2.803	23.9	40.32
3.573	0.3335	19.11	37.47	1.37	1.744	29.32	42.91
12.29	11.82	12.54	34.85	7.413	6.79	9.368	30.11
0	0.9528	25.99	19.42	0	0	47.64	20.24
0	0.9338	16.37	45.24	1.233	0.01246	13.82	30.81
9.986	7.461	19.81	16.2	9.942	7.886	23.3	13.07
0.7146	1.191	23	15.47	2.803	1.557	46.44	14.43
9.147	4.726	13.61	26.2	9.493	4.983	16.15	16.75
1.953	5.002	42.06	3.416	0	6.603	31.97	2.932
18.49	28.1	9.489	13.63	1.557	6.117	10.08	5.878
4.602	6.508	30.42	19.36	6.017	5.394	12.29	6.193
1.334	2.62	33.84	11.42	2.492	1.433	27.53	5.721
4.107	5.088	40.57	9.969	2.143	3.501	17.21	2.689
0	0.4764	6.404	22.15	0	0.9344	9.654	44.34
2.392	5.041	12.35	26.7	1.246	5.332	12.14	18.04
0.1048	0.848	21.72	11.52	0	0	19.81	26.16
6.651	12.06	19.86	10.83	9.231	6.964	8.682	4.906
0	2.096	18.25	13.26	0	1.221	26.85	14.26
0	0	34.68	12.09	0	0	16.02	11.16
5.002	4.907	24.5	8.166	6.665	6.416	15.52	2.503
1.639	1.01	11.87	7.152	2.143	1.246	27.46	19.02
2.334	1.667	20.01	16.28	0	1.993	16.73	12.16
0	0.667	20.6	15.05	0	1.744	17.23	14.09
0.7051	1.753	11.94	31.07	1.445	0	3.947	18.02
4.326	0.9147	13.91	11.37	3.027	2.977	20.54	10.07
0.5241	0.4288	22.58	9.873	0	4.485	17.09	10.94
0	0.4193	13.62	24.34	1.831	1.557	9.382	13.73
0	0.9528	20.06	3.149	4.709	1.321	29.55	4.091
5.126	4.879	12.36	11.61	5.133	1.171	14.95	8.224
1.782	2.258	7.077	8.955	5.133	4.186	20.04	12
1.458	0.4478	6.842	16.11	0	1.246	9.997	23.93
7.594	15.31	0.6831	2.711	5.656	23.72	0	3.69
0	0	25.67	2.135	0	0.3737	29.11	1.716
12.12	23.33	4.633	3.266	7.55	4.709	2.818	0.04291
1.906	2.763	16.92	5.764	2.367	7.849	17.66	2.861
1.906	1.048	31.43	8.166	1.246	0	9.44	4.148
6.432	4.24	9.073	13.88	6.354	1.557	3.433	9.44
0.1143	0.4764	9.222	21.67	2.492	1.57	3.833	14.9
0.667	1.525	9.286	10.78	0.6852	0.5606	13.94	16.81
0.9528	0	17.41	13.33	0	0	13.84	8.067
4.631	2.306	3.256	11.65	5.818	6.84	4.634	13.19
0	0.5526	9.863	5.444	0	0.09966	22.47	13.66
5.098	4.354	4.921	11.71	1.022	1.246	13.19	10.53
0.4574	1.963	6.116	14.42	0.6727	5.556	11.38	10.9
0.1334	0.8194	12.31	3.405	0.7973	1.694	29.59	1.788
3.021	1.744	17.2	15.33	0.5232	0.6229	6.136	5.492
2.01	4.354	14.19	4.195	2.404	1.557	13.59	6.636
0	0	18.36	6.02	0	0.3613	12.26	11.53
0.1715	0.7813	14.23	12.83	0.7973	0	6.45	12.14
0	0	2.882	9.927	0.8347	0.4111	7.967	24.93
4.526	2.773	19.3	5.935	0.5731	1.495	5.893	6.207
1.772	1.563	4.387	18.82	0.7599	0.4859	6.837	11.04
0	0	13.29	11.79	0	0	9.511	11.01
0.5336	0	5.529	8.219	0	0	15.56	15.48
0.7718	2.144	8.134	7.749	0.5482	0	12.49	13.34
6.851	3.211	8.368	2.54	4.161	4.56	8.038	6.179
0.9528	4.002	6.564	2.295	2.865	3.987	12.87	10.3
1.029	2.582	15.13	5.124	2.18	1.296	14.32	1.073
4.564	7.232	5.913	1.025	4.36	12.83	4.291	1.373
0	0.9528	8.539	7.664	0.8845	2.492	12.46	6.093
0	0.9528	18.48	3.127	1.669	0.8222	6.794	6.336
4.964	1.667	9.585	5.166	4.884	1.296	7.208	3.404
0.3716	3.649	14.01	0.6511	0	4.771	10.34	3.733
0.9528	4.764	6.468	8.304	4.186	7.3	4.291	0.8725
1.162	1.563	2.071	8.07	0.7599	1.383	5.95	15.5
13.9	9.9	0	0	5.718	4.149	1.43	1.316
7.289	5.479	4.75	4.163	5.668	5.793	1.573	1.287
2.62	5.784	6.981	9.511	2.093	2.267	1.101	5.206
0	1.315	15.75	1.58	0.7849	0.461	14.47	0
0	0	12.5	9.19	0	0	8.324	3.375
0	5.45	11.27	4.889	0.3862	7.064	2.861	1.144
0	0	6.938	5.871	1.246	0	7.509	10.37
3.344	5.708	4.814	4.323	3.513	6.927	1.702	1.159
6.193	6.67	1.067	2.135	7.163	5.295	0	1.43
3.03	1.868	14.98	9.468	0	0	0	0.4577
1.505	1.62	6.223	4.899	1.345	3.787	4.82	5.135
0.9528	0	4.91	13.15	0	0	2.632	7.38
0	0.9528	5.967	10.47	0	0	6.35	5.092
0	0	2.508	6.031	0.3488	0	11.86	7.852
0	0	9.681	9.19	0	1.246	0.8868	6.265
5.717	13.91	0	1.067	2.741	2.616	0	0
4.526	0.7146	6.383	3.736	2.977	5.295	0.3433	1.43
0	0	7.034	7.226	0	1.246	2.746	6.35
3.926	4.898	6.959	1.067	1.246	2.791	3.218	0.3576
5.669	3.745	4.174	2.402	4.497	0.1121	1.302	1.53
0	0	1.473	16.67	0	0	0.3147	3.976
0	0.9528	3.202	3.544	0	0	10.78	2.546
0.4002	0.9528	5.433	1.783	0	2.492	6.322	3.576
1.448	6.079	1.879	1.729	1.395	5.307	1.616	1.244
4.05	4.126	1.313	1.847	2.492	3.737	1.101	1.788
0.4478	1.458	10.5	1.067	0	2.417	2.818	1.473
5.155	5.441	0.5977	1.537	2.878	4.248	0	0
0	0	3.736	11.95	0	0	1.001	3.004
7.27	1.953	2.871	0.3309	3.202	1.782	2.231	0
0	0.9528	3.736	3.736	3.75	2.641	2.503	1.974
1.429	4.002	3.085	2.252	2.803	1.196	1.788	1.888
1.906	0.7623	3.256	1.014	5.232	0	2.861	3.29
1.048	0	1.334	1.975	0	0	8.939	4.648
0.4669	0	5.369	1.558	0	0	7.18	2.818
0.9528	0.4764	1.238	3.031	0	0	5.292	6.265
0	0	9.148	0.459	0	0	7.151	0
0.9528	0	5.102	1.153	2.317	0.1744	3.018	3.733
0	1.906	0.982	3.288	1.557	0.09966	1.788	6.794
2.268	1.01	5.935	0	0	0.5482	6.522	0
3.459	4.888	0	2.135	2.33	2.193	0	0.1859
0.7146	1.667	6.276	4.889	0	0	1.43	0
0	0.4002	2.199	5.807	0	0.1744	2.503	3.733
0	2.582	2.327	0.3416	0.3987	5.731	2.045	0.9154
0.2763	0.6765	3.736	5.337	0	0	0.4148	3.876
0.3716	4.85	0	0	2.666	6.403	0	0
0	0.1906	1.014	6.671	0	1.246	2.288	2.861
2.544	0.3144	0.3522	1.067	6.752	2.803	0	0
0	0	3.8	5.743	0	0	1.159	3.132
0	0	2.818	4.782	0.162	0.461	1.43	4.119
0	0.6479	1.985	6.02	1.159	1.159	0	2.66
1.906	0	0.8005	2.572	0	1.046	2.789	4.362
0	1.963	3.266	5.273	0	0	2.861	0
0	1.906	3.725	2.017	0	0.7724	1.073	3.762
0	0	4.782	4.312	0	0.299	2.489	0.7437
0.9528	0.6098	4.003	1.911	0	0.3987	1.63	2.66
1.829	0	3.458	4.547	0	0	0.6007	1.43
1.667	0.4002	1.772	1.43	2.28	2.703	0	1.43
0	1.162	2.167	2.701	1.208	0.03737	0	4.291
0	0	0	6.938	0	0	0	4.291
0	1.239	5.764	3.629	0	0	0	0
0	0	1.58	1.622	0	0	6.822	0.3719
0	0.01906	3.757	3.757	0	0	2.474	0.3862
0	0	5.924	1.548	0	0	2.431	0.4291
0.2382	1.191	3.063	2.402	0	0.6229	0	2.689
0	0	2.263	2.092	0	0	3.99	1.759
3.678	2.039	0.5337	1.067	0	0	0	2.76
0	0.2954	2.135	4.526	0	0	0.08582	2.775
1.02	4.354	1.334	0.07472	2.442	0	0	0.5149
0	0	3.202	0	0	0	2.346	4.091
