groseq_dht.plus	groseq_dht.plus	groseq_dht.minus	groseq_dht.minus	groseq_dmso.plus	groseq_dmso.plus	groseq_dmso.minus	groseq_dmso.minus
4943	4327	0	0	2354	2844	0	0
4943	4327	0	0	2354	2844	0	0
5246	1550	0	0	5273	1548	0	0
0.2468	1.087	5241	118.3	1.291	1.762	7274	224.1
0.2601	1.074	5238	101.6	1.36	1.692	7281	191.3
0.2601	1.074	5238	101.6	1.36	1.692	7281	191.3
0.2601	1.074	5238	101.6	1.36	1.692	7281	191.3
6566	1748	0	0	2934	837	0	0
6584	1724	0	0	2938	830.2	0	0
1727	188.1	0	0	1859	238.1	1.001	0
2.975	2.361	680.5	552.3	2.616	0.6366	844.6	682.9
2.975	2.361	680.5	552.3	2.616	0.6366	844.6	682.9
168.2	471.3	2.638	0.7472	254.2	644.4	3.014	0.9912
40.69	862.8	0	0.7472	34.62	591.3	1.001	1.001
0.5336	0	300.3	366.2	0	1.046	376.5	397.2
0.5336	0	300.3	366.2	0	1.046	376.5	397.2
736.7	1.321	0	1.001	697.2	1.151	0	0
192	428.6	2.242	0	279.1	468.5	1.001	0.3804
432.9	95.71	0	0	634.7	118.3	0	0.7008
269.8	166.1	168.6	29.08	235.2	151.5	192.9	36.06
276.8	301	0	0	299.6	331.8	0	0
23.84	541.2	2.869	1.987	21.35	574.4	1.422	1.542
182	382.1	3.437	1.195	187.4	407.7	1.802	1.201
182	382.1	3.437	1.195	187.4	407.7	1.802	1.201
182	382.1	3.437	1.195	187.4	407.7	1.802	1.201
182	382.1	3.437	1.195	187.4	407.7	1.802	1.201
182	382.1	3.437	1.195	187.4	407.7	1.802	1.201
3.428	4.622	98.91	419.4	0.8721	9.523	103.5	495.2
208	221.7	0.6127	0.1345	300.3	350	0	1.822
258.9	213.5	0	0	312.7	268.8	1.722	0
2.001	138.2	294.2	44.46	2.18	149.8	325.9	50.56
259.4	177.6	0	0	312.6	224	1.782	0
82.91	334.5	0	0	69.16	437.2	0	0
0	1.334	422.2	0	2.616	1.744	467.6	0
0	1.334	422.2	0	2.616	1.744	467.6	0
73.5	236.5	38.22	45.24	58.69	293	50.36	45.5
1.521	332.5	0.9937	0	1.648	476.7	1.221	0
7.324	7.297	180.7	198.2	8.843	10.24	171.6	196.8
7.324	7.297	180.7	198.2	8.843	10.24	171.6	196.8
120.3	199.6	0.7472	0.4782	126.3	267.5	0	0
0	5.416	328.5	3.84	1.465	6.017	357.9	2.143
0	5.416	328.5	3.84	1.465	6.017	357.9	2.143
61.08	221.7	0	0.7472	76.7	310.7	0	3.274
185.5	98.22	0	0	245.4	126.3	0	0
201.4	112.2	0.7472	0	200.6	122.9	0	1.001
89.66	68.43	110.6	57.52	77.14	63.45	101	65.26
89.66	68.43	110.6	57.52	77.14	63.45	101	65.26
89.66	68.43	110.6	57.52	77.14	63.45	101	65.26
10.6	5.336	226.1	66.75	12.59	6.506	219.7	81.44
5.976	279.1	0.5679	2.144	7.831	324	2.002	2.633
1.247	0	39.52	271.5	2.067	1.927	44.7	249.7
33.46	8.858	152.7	64.41	34.53	6.052	155.8	127.9
33.46	8.858	152.7	64.41	34.53	6.052	155.8	127.9
33.46	8.858	152.7	64.41	34.53	6.052	155.8	127.9
33.46	8.858	152.7	64.41	34.53	6.052	155.8	127.9
33.46	8.858	152.7	64.41	34.53	6.052	155.8	127.9
123.1	128.3	0.7472	0.8966	180.8	140.6	2.653	1.001
128.3	153	0.5305	0.7472	148.8	136.9	0	0
196.9	9.765	15.5	39.45	254.7	5.808	12.88	33.12
83.19	189.7	0.4035	0	86.89	206.8	0.3604	0
105.7	92.27	25.54	39.81	118.5	100.5	27.27	35.02
105.7	92.27	25.54	39.81	118.5	100.5	27.27	35.02
0.2868	231.4	16.86	0	0	281.8	10.42	0
0	7.977	191.3	19.46	0.6017	10.66	275.1	30.2
0	7.977	191.3	19.46	0.6017	10.66	275.1	30.2
0	7.977	191.3	19.46	0.6017	10.66	275.1	30.2
0	0.9605	119.8	130.9	0	0	113.6	167
237	17.89	4.789	5.679	210.3	36.78	5.236	13.21
156.2	131.1	1.569	0.1121	126.1	105	7.659	1.001
74.04	176.1	8.219	2.615	75.87	173.5	9.511	8.009
