#chrom	start	end	name	score	strand	thickStart	thickEnd	itemRGB	blockCount	blockSizes	blockStart	deepTools_group	groseq_dht.plus	groseq_dht.plus	groseq_dht.minus	groseq_dht.minus	groseq_dmso.plus	groseq_dmso.plus	groseq_dmso.minus	groseq_dmso.minus
chr5	148869135	148869485	chr5:148869135-148869485	.	.	148869135	148869485	0	1	350	148869134	con.ARBS.M.bed	0	0.667	64.15	72.96	0	1.246	40.98	67.94
chr2	181663784	181664134	chr2:181663784-181664134	.	.	181663784	181664134	0	1	350	181663783	con.ARBS.M.bed	62.8	54.59	4.707	0.9713	58.22	48.97	0.944	1.201
chr6	138552514	138552864	chr6:138552514-138552864	.	.	138552514	138552864	0	1	350	138552513	con.ARBS.M.bed	32.97	31.08	32.97	8.891	34.92	25	25.32	10.21
chr15	69886693	69887043	chr15:69886693-69887043	.	.	69886693	69887043	0	1	350	69886687	con.ARBS.M.bed	6.746	8.09	47.72	9.222	13.4	11.15	55.67	17.92
chr4	156366342	156366692	chr4:156366342-156366692	.	.	156366342	156366692	0	1	350	156366341	con.ARBS.M.bed	11.12	12.85	25.43	32.85	7.363	2.803	23.9	40.32
chr9	23598840	23599190	chr9:23598840-23599190	.	.	23598840	23599190	0	1	350	23598838	con.ARBS.M.bed	3.573	0.3335	19.11	37.47	1.37	1.744	29.32	42.91
chr20	40278940	40279290	chr20:40278940-40279290	.	.	40278940	40279290	0	1	350	40278936	con.ARBS.M.bed	12.29	11.82	12.54	34.85	7.413	6.79	9.368	30.11
chr10	75346208	75346558	chr10:75346208-75346558	.	.	75346208	75346558	0	1	350	75346201	con.ARBS.M.bed	0	0.9528	25.99	19.42	0	0	47.64	20.24
chr17	61915774	61916124	chr17:61915774-61916124	.	.	61915774	61916124	0	1	350	61915768	con.ARBS.M.bed	0	0.9338	16.37	45.24	1.233	0.01246	13.82	30.81
chr15	58625023	58625373	chr15:58625023-58625373	.	.	58625023	58625373	0	1	350	58625018	con.ARBS.M.bed	9.986	7.461	19.81	16.2	9.942	7.886	23.3	13.07
chr4	69536148	69536498	chr4:69536148-69536498	.	.	69536148	69536498	0	1	350	69536142	con.ARBS.M.bed	0.7146	1.191	23	15.47	2.803	1.557	46.44	14.43
chr15	74935098	74935448	chr15:74935098-74935448	.	.	74935098	74935448	0	1	350	74935091	con.ARBS.M.bed	9.147	4.726	13.61	26.2	9.493	4.983	16.15	16.75
chr22	43391140	43391490	chr22:43391140-43391490	.	.	43391140	43391490	0	1	350	43391136	con.ARBS.M.bed	1.953	5.002	42.06	3.416	0	6.603	31.97	2.932
chr15	89663016	89663366	chr15:89663016-89663366	.	.	89663016	89663366	0	1	350	89663008	con.ARBS.M.bed	18.49	28.1	9.489	13.63	1.557	6.117	10.08	5.878
chr6	160562092	160562442	chr6:160562092-160562442	.	.	160562092	160562442	0	1	350	160562091	con.ARBS.M.bed	4.602	6.508	30.42	19.36	6.017	5.394	12.29	6.193
chr2	20638205	20638555	chr2:20638205-20638555	.	.	20638205	20638555	0	1	350	20638203	con.ARBS.M.bed	1.334	2.62	33.84	11.42	2.492	1.433	27.53	5.721
chr12	97962303	97962653	chr12:97962303-97962653	.	.	97962303	97962653	0	1	350	97962294	con.ARBS.M.bed	4.107	5.088	40.57	9.969	2.143	3.501	17.21	2.689
chr8	26123275	26123625	chr8:26123275-26123625	.	.	26123275	26123625	0	1	350	26123273	con.ARBS.M.bed	0	0.4764	6.404	22.15	0	0.9344	9.654	44.34
chr21	47608376	47608726	chr21:47608376-47608726	.	.	47608376	47608726	0	1	350	47608372	con.ARBS.M.bed	2.392	5.041	12.35	26.7	1.246	5.332	12.14	18.04
chr8	18420486	18420836	chr8:18420486-18420836	.	.	18420486	18420836	0	1	350	18420485	con.ARBS.M.bed	0.1048	0.848	21.72	11.52	0	0	19.81	26.16
chr1	116918858	116919208	chr1:116918858-116919208	.	.	116918858	116919208	0	1	350	116918857	con.ARBS.M.bed	6.651	12.06	19.86	10.83	9.231	6.964	8.682	4.906
chr3	126074574	126074924	chr3:126074574-126074924	.	.	126074574	126074924	0	1	350	126074573	con.ARBS.M.bed	0	2.096	18.25	13.26	0	1.221	26.85	14.26
chr11	58792424	58792774	chr11:58792424-58792774	.	.	58792424	58792774	0	1	350	58792419	con.ARBS.M.bed	0	0	34.68	12.09	0	0	16.02	11.16
chr19	2543710	2544060	chr19:2543710-2544060	.	.	2543710	2544060	0	1	350	2543708	con.ARBS.M.bed	5.002	4.907	24.5	8.166	6.665	6.416	15.52	2.503
chr11	34190228	34190578	chr11:34190228-34190578	.	.	34190228	34190578	0	1	350	34190225	con.ARBS.M.bed	1.639	1.01	11.87	7.152	2.143	1.246	27.46	19.02
chr10	3894390	3894740	chr10:3894390-3894740	.	.	3894390	3894740	0	1	350	3894387	con.ARBS.M.bed	2.334	1.667	20.01	16.28	0	1.993	16.73	12.16
chr2	129199920	129200270	chr2:129199920-129200270	.	.	129199920	129200270	0	1	350	129199919	con.ARBS.M.bed	0	0.667	20.6	15.05	0	1.744	17.23	14.09
chr19	16844542	16844892	chr19:16844542-16844892	.	.	16844542	16844892	0	1	350	16844541	con.ARBS.M.bed	0.7051	1.753	11.94	31.07	1.445	0	3.947	18.02
chr9	112013232	112013582	chr9:112013232-112013582	.	.	112013232	112013582	0	1	350	112013231	con.ARBS.M.bed	4.326	0.9147	13.91	11.37	3.027	2.977	20.54	10.07
chr1	49812330	49812680	chr1:49812330-49812680	.	.	49812330	49812680	0	1	350	49812326	con.ARBS.M.bed	0.5241	0.4288	22.58	9.873	0	4.485	17.09	10.94
chr12	93528922	93529272	chr12:93528922-93529272	.	.	93528922	93529272	0	1	350	93528913	con.ARBS.M.bed	0	0.4193	13.62	24.34	1.831	1.557	9.382	13.73
chr8	26061722	26062072	chr8:26061722-26062072	.	.	26061722	26062072	0	1	350	26061720	con.ARBS.M.bed	0	0.9528	20.06	3.149	4.709	1.321	29.55	4.091
chr11	41315956	41316306	chr11:41315956-41316306	.	.	41315956	41316306	0	1	350	41315952	con.ARBS.M.bed	5.126	4.879	12.36	11.61	5.133	1.171	14.95	8.224
chr2	237906662	237907012	chr2:237906662-237907012	.	.	237906662	237907012	0	1	350	237906660	con.ARBS.M.bed	1.782	2.258	7.077	8.955	5.133	4.186	20.04	12
chr9	19404478	19404828	chr9:19404478-19404828	.	.	19404478	19404828	0	1	350	19404477	con.ARBS.M.bed	1.458	0.4478	6.842	16.11	0	1.246	9.997	23.93
chr8	96003418	96003768	chr8:96003418-96003768	.	.	96003418	96003768	0	1	350	96003409	con.ARBS.M.bed	7.594	15.31	0.6831	2.711	5.656	23.72	0	3.69
chr2	198478065	198478415	chr2:198478065-198478415	.	.	198478065	198478415	0	1	350	198478064	con.ARBS.M.bed	0	0	25.67	2.135	0	0.3737	29.11	1.716
chr11	114030572	114030922	chr11:114030572-114030922	.	.	114030572	114030922	0	1	350	114030571	con.ARBS.M.bed	12.12	23.33	4.633	3.266	7.55	4.709	2.818	0.04291
chr16	85355415	85355765	chr16:85355415-85355765	.	.	85355415	85355765	0	1	350	85355407	con.ARBS.M.bed	1.906	2.763	16.92	5.764	2.367	7.849	17.66	2.861
chr18	56216980	56217330	chr18:56216980-56217330	.	.	56216980	56217330	0	1	350	56216975	con.ARBS.M.bed	1.906	1.048	31.43	8.166	1.246	0	9.44	4.148
chr11	7559785	7560135	chr11:7559785-7560135	.	.	7559785	7560135	0	1	350	7559778	con.ARBS.M.bed	6.432	4.24	9.073	13.88	6.354	1.557	3.433	9.44
chr11	67905488	67905838	chr11:67905488-67905838	.	.	67905488	67905838	0	1	350	67905482	con.ARBS.M.bed	0.1143	0.4764	9.222	21.67	2.492	1.57	3.833	14.9
chr20	49031980	49032330	chr20:49031980-49032330	.	.	49031980	49032330	0	1	350	49031976	con.ARBS.M.bed	0.667	1.525	9.286	10.78	0.6852	0.5606	13.94	16.81
chr22	24603867	24604217	chr22:24603867-24604217	.	.	24603867	24604217	0	1	350	24603865	con.ARBS.M.bed	0.9528	0	17.41	13.33	0	0	13.84	8.067
chr3	177802806	177803156	chr3:177802806-177803156	.	.	177802806	177803156	0	1	350	177802805	con.ARBS.M.bed	4.631	2.306	3.256	11.65	5.818	6.84	4.634	13.19
chr11	121128558	121128908	chr11:121128558-121128908	.	.	121128558	121128908	0	1	350	121128557	con.ARBS.M.bed	0	0.5526	9.863	5.444	0	0.09966	22.47	13.66
chr3	39182918	39183268	chr3:39182918-39183268	.	.	39182918	39183268	0	1	350	39182915	con.ARBS.M.bed	5.098	4.354	4.921	11.71	1.022	1.246	13.19	10.53
chr17	66374502	66374852	chr17:66374502-66374852	.	.	66374502	66374852	0	1	350	66374496	con.ARBS.M.bed	0.4574	1.963	6.116	14.42	0.6727	5.556	11.38	10.9
chr3	176477639	176477989	chr3:176477639-176477989	.	.	176477639	176477989	0	1	350	176477638	con.ARBS.M.bed	0.1334	0.8194	12.31	3.405	0.7973	1.694	29.59	1.788
chr3	130569579	130569929	chr3:130569579-130569929	.	.	130569579	130569929	0	1	350	130569578	con.ARBS.M.bed	3.021	1.744	17.2	15.33	0.5232	0.6229	6.136	5.492
chr14	31560482	31560832	chr14:31560482-31560832	.	.	31560482	31560832	0	1	350	31560479	con.ARBS.M.bed	2.01	4.354	14.19	4.195	2.404	1.557	13.59	6.636
chr8	29642179	29642529	chr8:29642179-29642529	.	.	29642179	29642529	0	1	350	29642177	con.ARBS.M.bed	0	0	18.36	6.02	0	0.3613	12.26	11.53
chr4	153923143	153923493	chr4:153923143-153923493	.	.	153923143	153923493	0	1	350	153923142	con.ARBS.M.bed	0.1715	0.7813	14.23	12.83	0.7973	0	6.45	12.14
chr1	14825192	14825542	chr1:14825192-14825542	.	.	14825192	14825542	0	1	350	14825191	con.ARBS.M.bed	0	0	2.882	9.927	0.8347	0.4111	7.967	24.93
